old_url,post_type,post_id,wp_status,title,live_http,live_text_chars,outcome_suggested,outcome,target_path,notes
http://repeatexplorer.org/?page_id=657,page,657,publish,Workshop 2016 gallery,200,14810,drop,drop,/workshops/2016/,Photo gallery; images not migrated
http://repeatexplorer.org/?page_id=678,page,678,publish,Workshop 2017 Programme,200,9748,archive,archive,/workshops/2017/,
http://repeatexplorer.org/?page_id=739,page,739,publish,Workshop menu,200,6220,archive,drop,/workshops/,
http://repeatexplorer.org/?page_id=748,page,748,draft,Workshop gallery,404,0,drop,drop,,Already 404 before migration; no redirect rule
http://repeatexplorer.org/?page_id=749,page,749,publish,Workshop gallery 2017,200,14832,drop,drop,/workshops/2017/,Photo gallery; images not migrated
http://repeatexplorer.org/?page_id=752,page,752,publish,Workshop 2017 Presentations,200,6403,archive,archive,/workshops/2017/presentations/,"Links 7 x 2017 presentations, all fetched to migration/assets/; 7 PDFs in migration/assets/"
http://repeatexplorer.org/?page_id=802,page,802,publish,RepeatExlorer2 and Tarean Manual,200,6285,keep,drop,/tools/repeatexplorer2/,"Stub linking the Bitbucket wiki, which now 404s"
http://repeatexplorer.org/?page_id=812,page,812,publish,Tools,200,6774,rewrite,rewrite,/tools/,PROFREP gets no page; not in the design doc tool list
http://repeatexplorer.org/?page_id=818,page,818,publish,RepeatExplorer2,200,9114,rewrite,rewrite,/tools/repeatexplorer2/,
http://repeatexplorer.org/?page_id=826,page,826,publish,TAREAN,200,7440,rewrite,rewrite,/tools/tarean/,
http://repeatexplorer.org/?page_id=832,page,832,publish,DANTE,200,7052,rewrite,rewrite,/tools/dante/,
http://repeatexplorer.org/?page_id=852,page,852,private,WPForms Preview,404,0,drop,drop,,Already 404 before migration; no redirect rule
http://repeatexplorer.org/?page_id=858,page,858,publish,,200,6211,drop,drop,/,
http://repeatexplorer.org/?page_id=863,page,863,publish,Submissions,200,6226,rewrite,drop,/,
http://repeatexplorer.org/?page_id=864,page,864,publish,Login,200,6208,drop,drop,/,
http://repeatexplorer.org/?page_id=878,page,878,publish,Workshop 2018 Programme,200,9358,archive,archive,/workshops/2018/,
http://repeatexplorer.org/?page_id=918,page,918,publish,REXdb,200,7824,rewrite,rewrite,/tools/rexdb/,REXdb library not copied; link github.com/repeatexplorer/rexdb (v4.0 supersedes v3.0)
http://repeatexplorer.org/?page_id=982,page,982,publish,Workshop 2018 galery,200,14831,drop,drop,/workshops/2018/,Photo gallery; images not migrated
http://repeatexplorer.org/?page_id=1046,page,1046,publish,Workshop 2019 Programme,200,10207,archive,archive,/workshops/2019/,
http://repeatexplorer.org/?page_id=1087,page,1087,publish,Workshop 2019 galery,200,14809,drop,drop,/workshops/2019/,Photo gallery; images not migrated
http://repeatexplorer.org/?page_id=1091,page,1091,publish,Workshop data,200,6434,archive,archive,/workshops/2019/materials/,Links 2019 presentations (fetched) + workshop_data.tar.gz and RE2019_v2.ova (not preserved); 6 PDFs fetched; .ova and data archive not preserved
http://repeatexplorer.org/?page_id=1114,page,1114,publish,Workshop 2021 program,200,11897,archive,archive,/workshops/2021/,
http://repeatexplorer.org/?page_id=1214,page,1214,publish,Workshop 2022 Programme,200,10754,archive,archive,/workshops/2022/,
http://repeatexplorer.org/?page_id=1245,page,1245,publish,Venue,200,6761,archive,archive,/workshops/2025/venue/,
http://repeatexplorer.org/?page_id=1280,page,1280,publish,Workshop 2022 gallery,200,6535,drop,drop,/workshops/2022/,Photo gallery; images not migrated
http://repeatexplorer.org/?page_id=1315,page,1315,publish,Workshop 2023 Programme,200,10413,archive,archive,/workshops/2023/,
http://repeatexplorer.org/?page_id=1344,page,1344,publish,Workshop 2023 Gallery,200,14832,drop,drop,/workshops/2023/,Photo gallery; images not migrated
http://repeatexplorer.org/?page_id=1395,page,1395,publish,DANTE_LTR,200,6683,rewrite,rewrite,/tools/dante-ltr/,
http://repeatexplorer.org/?page_id=1398,page,1398,publish,TideCluster,200,6787,rewrite,rewrite,/tools/tidecluster/,
http://repeatexplorer.org/?page_id=1423,page,1423,publish,Program 2025,200,9584,archive,archive,/workshops/2025/,
http://repeatexplorer.org/?page_id=1456,page,1456,publish,Workshop Training Materials,200,6610,archive,archive,/workshops/2025/materials/,Links workshop2025_data; tiny_pea.fasta not preserved - point at github.com/repeatexplorer/workshop for materials; tiny_pea.fasta not preserved - point at github.com/repeatexplorer/workshop
http://repeatexplorer.org/?p=49,post,49,publish,Workshop 2014,200,6541,archive,drop,/workshops/2014/,Near-empty 2014 leftover; not migrated
http://repeatexplorer.org/?p=79,post,79,publish,Programme,200,6309,archive,drop,/workshops/2014/,Near-empty 2014 leftover; not migrated
http://repeatexplorer.org/?p=81,post,81,draft,Documentation,404,0,drop,drop,,Already 404 before migration; no redirect rule
http://repeatexplorer.org/?p=911,post,911,publish,Lunch Selection,200,6300,drop,drop,/workshops/2014/,Near-empty 2014 leftover; not migrated
